text,label
"URGENT: Your Chase account has been locked due to suspicious activity. Verify your identity immediately at chase-secure-verify.com or your account will be permanently closed.",1
"Hello this is Microsoft Support. We detected a dangerous virus on your computer. Call +1-888-555-0142 immediately. Do not turn off your computer or your files will be lost.",1
"Grandma it's me, I'm in trouble and I can't talk right now. I need you to buy $500 in Apple gift cards and send me the codes. Please don't tell mom and dad.",1
"Your package could not be delivered due to unpaid customs fee of $1.99. Update your payment details here: usps-redelivery.info/track",1
"Congratulations! Your number was selected in our annual customer lottery. You have won $2,500,000 USD. To claim, send your full name, address and a processing fee of $150 via Western Union.",1
"This is the IRS. You owe back taxes of $4,832. A warrant has been issued for your arrest. To cancel the warrant, call this number now and pay via gift cards or wire transfer.",1
"Dear beloved, I am a widow with terminal illness and $11.5 million to donate to charity. I chose you to distribute my funds. Kindly send your bank details to proceed.",1
"Netflix: Your payment failed. Your membership will be suspended in 24 hours. Update your billing information now: netfIix-billing-update.com",1
"Hi I noticed your profile and felt an instant connection. I am a surgeon working with the UN overseas. I know this is fast but I feel I can trust you. Could you help me with a small transfer fee? I will pay you back double.",1
"FINAL NOTICE: Your Social Security number has been suspended due to fraudulent activity. Press 1 to speak with an officer or face immediate legal action.",1
"Your Amazon order for iPhone 15 Pro ($1,299) has shipped. If you did not place this order, call 1-877-555-0199 immediately to cancel and get a refund.",1
"Bank Alert: A withdrawal of $950 was attempted from your account. If this was not you, click here to secure your account: secure-bankofamerica.co/verify",1
"You have been offered a part-time job paying $450/day for simple data entry from home. No experience needed. To activate your position, purchase a $50 registration kit.",1
"WhatsApp: Your account will be deactivated. Verify now by forwarding this message to 10 contacts and clicking the link below.",1
"I am contacting you regarding an unclaimed inheritance of $8.3M belonging to your late relative. As his attorney I need your details to process the claim before the government seizes it.",1
"Crypto opportunity: Elon Musk is giving away Bitcoin! Send 0.1 BTC to this address and receive 1 BTC back. Limited time offer, first 500 people only!",1
"Your electricity will be disconnected TODAY due to an unpaid bill. Call our disconnection department immediately at 1-855-555-0177 to make a payment and avoid shutoff.",1
"Security alert: someone tried to log into your Google account from Russia. If this wasn't you verify your identity here immediately: accounts-google-security.tk",1
"Mom I broke my phone this is my new number. I need to pay a bill urgently today but my banking app won't work on this phone. Can you transfer $800? I'll return it tomorrow.",1
"Dear customer your bKash account has been temporarily suspended. To reactivate dial *247*0142# and enter your PIN when prompted or call our helpline.",1
"Get a government grant of $9,000 that you never have to pay back! You qualify because you pay your taxes on time. Claim your grant today, just pay the $250 release fee.",1
"Your subscription to McAfee Antivirus has auto-renewed for $399.99. If you wish to cancel and get a refund, call our billing team at 1-844-555-0123 within 24 hours.",1
"ALERT: New sign-in to your Facebook account from an unrecognized device in Lagos, Nigeria. Reset your password immediately using this link: fb-security-check.info",1
"Hey are you free? I'm in a meeting and can't call. I need you to do something for me urgently. Buy 3 Google Play gift cards worth $100 each for a client. I'll reimburse you after the meeting. - Your Boss",1
"Your car's extended warranty is about to expire. This is your FINAL courtesy call. Press 1 now to speak with a warranty specialist and avoid losing coverage.",1
"Hi, your CV was shortlisted for a remote position at Amazon paying $35/hour. Click the Telegram link to complete your onboarding interview today: t.me/amazonhr_recruiting",1
"Hey, are we still on for lunch tomorrow at noon?",0
"Your Uber is arriving now. Look for a silver Toyota Camry, license plate 7ABC123.",0
"Reminder: You have a dentist appointment on Tuesday, March 14 at 2:30 PM. Reply C to confirm or R to reschedule.",0
"Thanks for your order! Your receipt #38291 from Green Leaf Cafe is attached. Total: $12.45.",0
"Mom, I'll be home around 7. Do you want me to pick up anything from the store?",0
"Your prescription is ready for pickup at Walgreens on Main St. Store hours: 8 AM - 10 PM.",0
"Meeting moved to 3 PM in conference room B. Agenda unchanged. See you there.",0
"Your library books are due this Friday. You can renew online or at any branch.",0
"Flight AA1289 to Chicago is on time. Gate B12. Boarding begins at 5:40 PM.",0
"Hi Sarah, it was lovely meeting you at the conference. Would you be open to a quick call next week to discuss the partnership?",0
"Your electricity bill for March is $84.50, due April 15. View your statement in the app or pay online at your convenience.",0
"Class canceled today, professor is sick. Lab report still due Friday by midnight.",0
"Your table for 4 at Bella Italia is confirmed for Saturday 7 PM. We look forward to seeing you!",0
"Package delivered! Your order was left at the front door. Photo confirmation available in the app.",0
"Don't forget grandma's birthday is this Sunday. We're all chipping in for flowers, $15 each.",0
"Your bank statement for account ending 4523 is now available in online banking. No action is required.",0
"Weather alert: Heavy rain expected in your area this evening. Drive safely.",0
"Hi, this is Dr. Patel's office confirming your annual checkup tomorrow at 10 AM. Please bring your insurance card.",0
"Team standup moved to 9:15 tomorrow. Same link as usual.",0
"Your gym membership renews on the 1st. Manage your plan anytime in your account settings.",0
